YEAR DOY Hr   B     BX    BY    BZ   dBX^2 dBY^2 dBZ^2  n_p   P      Dst ap f10.7  pc
2015 299  0   8.2  -7.4   0.2   3.3   0.2   0.8   0.3   2.9  1.29    -1   2 104.9 999.9
2015 299  1   7.8  -6.8   2.0   2.8   0.6   1.5   0.3   4.9  2.01     3   2 104.9 999.9
2015 299  2   7.2  -6.3   1.3   2.6   0.5   1.6   0.5   4.0  1.61     3   2 104.9 999.9
2015 299  3   7.0  -6.0  -0.4   3.5   0.3   0.6   0.4   4.4  1.64     4   0 104.9 999.9
2015 299  4   7.3  -5.9  -0.4   4.2   0.2   0.4   0.2   3.8  1.43     5   0 104.9 999.9
2015 299  5   7.0  -5.4  -1.6   4.0   0.2   0.3   0.3   3.8  1.41     4   0 104.9 999.9
2015 299  6   6.9  -4.6  -1.9   4.6   0.5   0.4   0.5   3.5  1.26     3   3 104.9 999.9
2015 299  7   6.8  -3.9  -2.1   5.1   0.3   0.4   0.5   3.2  1.09     6   3 104.9 999.9
2015 299  8   6.7  -4.9  -1.1   4.2   0.6   0.7   0.9   2.9  1.01     7   3 104.9 999.9
2015 299  9   6.2  -5.6  -0.8   2.4   0.1   0.2   0.2   2.7  0.98     5   2 104.9 999.9
2015 299 10   6.2  -5.6  -0.8   2.6   0.1   0.2   0.3   2.1  0.83     4   2 104.9 999.9
2015 299 11   6.3  -5.9  -1.1   1.8   0.2   0.3   0.6   1.5  0.63     3   2 104.9 999.9
2015 299 12   6.2  -5.6  -0.2   2.3   0.2   0.6   0.6   1.4  0.59     1   2 104.9 999.9
2015 299 13   5.8  -5.1  -2.4   1.0   0.4   0.4   0.5   2.2  0.81    -1   2 104.9 999.9
2015 299 14   5.7  -5.3  -1.4   1.1   0.4   1.2   0.3   2.7  0.93    -2   2 104.9 999.9
2015 299 15   5.7  -5.7  -0.2   0.6   0.1   0.2   0.2   3.0  1.01    -2   0 104.9 999.9
2015 299 16   5.9  -5.8   0.2   0.2   0.1   0.3   0.5   2.8  0.95    -4   0 104.9 999.9
2015 299 17   5.8  -5.6   1.2  -0.2   0.2   0.3   0.3   2.8  0.95    -6   0 104.9 999.9
2015 299 18   5.6  -5.4   1.5  -0.6   0.1   0.2   0.1   2.2  0.71    -7   2 104.9 999.9
2015 299 19   5.5  -5.2   1.4  -0.9   0.2   0.2   0.2   2.1  0.67    -5   2 104.9 999.9
2015 299 20   5.3  -5.2   0.5  -0.9   0.2   0.5   0.2   1.9  0.60    -4   2 104.9 999.9
2015 299 21   5.4  -5.4  -0.1  -0.3   0.1   0.4   0.2   2.3  0.69    -2   0 104.9 999.9
2015 299 22   5.4  -5.3   0.9  -0.1   0.1   0.5   0.2   2.1  0.64    -1   0 104.9 999.9
2015 299 23   5.8  -5.2   2.2  -0.9   0.2   0.6   0.3   1.7  0.54     0   0 104.9 999.9
2015 300  0   5.5  -5.1   1.6  -0.9   0.1   0.4   0.3   2.2  0.66     0   0 108.7 999.9
2015 300  1   5.6  -5.4   0.4  -1.5   0.1   0.3   0.2   2.1  0.63    -3   0 108.7 999.9
2015 300  2   5.7  -5.4   0.4  -1.7   0.2   0.2   0.2   2.2  0.63    -4   0 108.7 999.9
2015 300  3   5.7  -5.5   0.3  -1.4   0.1   0.1   0.1   2.1  0.58    -3   2 108.7 999.9
